0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	DropInventory	
"Box of Kundun 2"	 1000	   100		  1		  0		    0		   0		0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
14          44     0          0          0       0      0        0	//high refining
14          28     7          7          0       0      0        0	//lost map
14          86     0          0          0       0      0        0	//Cherry Blossom buff
14          85     0          0          0       0      0        0	//Cherry Blossom buff
14          87     0          0          0       0      0        0	//Cherry Blossom buff
14          41     0          0          0       0      0        0	//gemstone
12          30     0          0          0       0      0        0	//pack bless
12          31     0          0          0       0      0        0	//pack soul
12          15     0          0          0       0      0        0	//chaos
14          16     0          0          0       0      0        0	//life
12          100    0          0          0       0      0        0	//seed
12          101    0          0          0       0      0        0	//seed
12          102    0          0          0       0      0        0	//seed
12          103    0          0          0       0      0        0	//seed
12          104    0          0          0       0      0        0	//seed
12          105    2          2          0       0      0        0	//seed
12          106    0          0          0       0      0        0	//seed
12          107    0          0          0       0      0        0	//seed
12          108    0          0          0       0      0        0	//seed
12          109    0          0          0       0      0        0	//seed
12          110    0          0          0       0      0        0	//seed
12          111    2          2          0       0      0        0	//seed
12          112    0          0          0       0      0        0	//seed
12          113    0          0          0       0      0        0	//seed
12          114    0          0          0       0      0        0	//seed
12          115    0          0          0       0      0        0	//seed
12          116    0          0          0       0      0        0	//seed
12          117    2          2          0       0      0        0	//seed
end
