//=================================================================================================================//=================================================================================================================
// - ColorName Max: 7
// - AL  = This bot is only for VIP users
// - Class    = 0,1,2	DW,SM,GM  = 16,17,18	DK,BK,BM  = 32,33,34	Elf,ME,HE
// -	      = 48,49,50 MG,DM    = 64,65,66	DL,LE     = 80,81,82	SU,BS,DS
// -	      = 96,98 RF,FM
// - GensFamily (1 Vanert, 2 Duprian)
// - Attention: if or if put 10 letters in the names of the Bot
//=================================================================================================================
//=================================================================================================================
//BotIndex	Class	Enabled	 ColorName	Zen	PCPoint	MaxLvl	   Name		Map	X	Y	Dir
1
0		34	1	    0		100000	0	400	"ELF Buffer"	3	182	115	3
1		2	1	    0		100000	0	400	"SM Buffer"	2	190	19	3
2		18	1	    0		100000	0	400	"BK Buffer"	0	130	128	3
3		82	1	    0		100000	0	400	"SUM Buffer"	51	64	206	1
4		66	1	    0		100000	0	400	"DL Buffer"	0	168	96	1
5		98	1	    0		100000	0	400	"RF Buffer"	2	209	14	4
end
//=================================================================================================================
//=================================================================================================================
// -   Bot	Only	Active!		GensReq		Gens
// -   Index	_AL	ReqGens		Contribution	Family
2
	0	0	   0	  	100		0
	1	0	   0	  	100		0
	2	0	   0	  	100		0
	3	0	   0	  	100		0
	4	0	   0	  	100		0
	5	0	   0	  	100		0
end
//=================================================================================================================
//=================================================================================================================
// - 0 = Sword	1 = Shield	2 = Helm	3 = Armor	
// - 4 = Pants	5 = Gloves	6 = Boots	7 = Wings	8 = Pet


// - BotIndex	Slot	Type	Index	Level	Opt
3
//HE===============================================================================================================
	0	3	8	36	7	1
	0	4	9	36	7	1
	0	5	10	36	7	1
	0	6	11	36	7	1
	0	7	12	38	0	1
//GM===============================================================================================================
	1	3	8	55	13	1
	1	4	9	55	13	1
	1	5	10	55	13	1
	1	6	11	55	13	1
	1	7	12	264	0	1
//BM===============================================================================================================
	2	0	0	17	0	1
	2	3	8	17	0	1
	2	4	9	17	0	1
	2	5	10	17	0	1
	2	6	11	17	0	1
	2	7	12	5	0	0
//DS===============================================================================================================
	3	3	8	53	0	1
	3	4	9	53	0	1
	3	5	10	53	0	1
	3	6	11	53	0	1
	3	7	12	41	0	1
	3	8	13	123	0	0
//LE===============================================================================================================
	4	0	2	11	0	1
	4	3	8	26	0	1
	4	4	9	26	0	1
	4	5	10	26	0	1
	4	6	11	26	0	1
	4	7	13	123	0	0
//RF===============================================================================================================
	5	0	2	4	0	1
	5	3	8	144	0	1
	5	4	9	144	0	1
	5	6	11	144	0	1
	5	7	12	49	0	0
end
//=================================================================================================================
//=================================================================================================================
// - 28	(Greater Damage), 27 (Greater Defense),  16 (Greater Mana Shield),  64 (Critical Damage)
// - 48	(Greater Life), 217 (Reflect), 82 (Magic Circle), 129 (Greater Ignore Defense Rate), 130 (Fitness)
// -
// - MAX SKILLS PER BOT = 5
// - BotIndex	Skill		Min	%PowerSkill (% aumento da skill)


4
	0	27		30	100	//ELF Buffer
	0	28		30	100	//ELF Buffer

	1	16		30	100	//SM Buffer
	1	82		30	100	//SM Buffer

	2	48		30	100	//BK Buffer

	3	217		30	100	//SUM Buffer
	3	129		30	100	//SUM Buffer

	4	64		30	200	//DL Buffer

	5	130		30	300	//RF Buffer
end
//=================================================================================================================
//=================================================================================================================
