0
//ServerCode   MapServerGroup   InitSetVal   IpAddress         Port
11	       0	        1	     S192.168.0.69	       55901
19	       0	        0	     S192.168.0.69	       55919
end

1
//ServerCode   NotMoveOption   NextMap   NextServerCode
11	       0	       30        19
11	       0	       31        19
11	       0	       34        19
11	       0	       41        19
11	       0	       42        19
11	       0	       79        19
19	       1	       30        -1
19	       1	       31        -1
19	       1	       34        -1
19	       1	       41        -1
19	       1	       42        -1
19	       1	       79        -1
end
