// Max 10 Luck Wheels
//Requirement
0	
	//Index   ItemIndex   ItemAmount   Coin1   Coin2   Coin3
	0	  *           0            1       0       0
	1	  6159        5            10      0       0
end

// Item List (Required 12 item by index)
// ItemPos = Positve/Negative
// ItemSize = 1 to 10 (1 is bigger)
1
	//Index   Slot  ItemPosX  ItemPosY   ItemSize   ItemIndex   Level   Dur   Skill   Luck   Option   ExcOp   SetOp   JoH   OEx   Socket1   Socket2   Socket3   Socket4   Socket5   BonusSocket   Duration
	0 	  1     -3        1          6          7181        0       0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0       // Jewel of Bless
	0 	  2     -1        -1         6          7383        0       0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0       // Card Piece
	0 	  3     0         -3         6          6689        0       0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0       // Bless of Guardian
	0 	  4     0         0          8          7258        0       0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0       // Golden Cherry Branch
	0 	  5     0         -1         8          7264        0       0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0       // TOCA
	0 	  6     0         -2         6          7184        0       0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0       // Jewel of Life
	0 	  7     -2        -2         7          7269        0       0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0       // Suspicious Scrap of Paper
	0 	  8     0         -10        6          6159        0       0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0       // Jewel of Chaos
	0 	  9     0         -5         7          6688        0       0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0       // Splinter of Armor
	0 	  10    0         -3         6          7182        0       0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0       // Jewel of Soul
	0 	  11    -2        -15        5          6801        0       0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0       // Spirit Map Fragment
	0 	  12    1         -1         7          6704        0       1     0       0      0        0       0       0     0	   255       255       255       255       255       255           0       // Kalima Ticket

	//Index   Slot  ItemPosX   ItemPosY   ItemSize   ItemIndex   Level   Dur   Skill   Luck   Option   ExcOp   SetOp   JoH   OEx   Socket1   Socket2   Socket3   Socket4   Socket5   BonusSocket   Duration
	1 	  1     3         5          9          0000        12      0     1       1      7        63      0       0     0	   255       255       255       255       255       255           0
	1 	  2     0         0          9          0001        0       0     0       0      0        4       0       0     0	   255       255       255       255       255       255           0
	1 	  3     0         2          9          0002        12      0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0
	1 	  4     0         0          9          0003        0       0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0
	1 	  5     0         0          9          0004        0       0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0
	1 	  6     0         0          9          0005        0       0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0
	1 	  7     0         0          9          0006        0       0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0
	1 	  8     0         0          9          0007        0       0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0
	1 	  9     0         0          9          0008        0       0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0
	1 	  10    0         0          9          0009        0       0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0
	1 	  11    0         0          9          0010        0       0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0
	1 	  12    0         0          9          0011        0       0     0       0      0        0       0       0     0	   255       255       255       255       255       255           0
end
